added_order	archive	composer	title	nationality_source	source_rank	count	playlist_entry
1	mutopia	Fryderyk Chopin	Ballade number 4.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Ballade%20number%204.mid
2	mutopia	Fryderyk Chopin	Etude As-Dur.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Etude%20As-Dur.mid
3	mutopia	Fryderyk Chopin	Etude C-Dur.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Etude%20C-Dur.mid
4	mutopia	Fryderyk Chopin	Etude Ges-Dur.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Etude%20Ges-Dur.mid
5	mutopia	Fryderyk Chopin	Etude c-moll.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Etude%20c-moll.mid
6	mutopia	Fryderyk Chopin	Fantaisie-Impromptu.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Fantaisie-Impromptu.mid
7	mutopia	Fryderyk Chopin	Mazurka: Op.33, No.1.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Mazurka%3A%20Op.33%2C%20No.1.mid
8	mutopia	Fryderyk Chopin	Mazurka: Op.6, No.1.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Mazurka%3A%20Op.6%2C%20No.1.mid
9	mutopia	Fryderyk Chopin	Nocturne 8 in Db Major.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Nocturne%208%20in%20Db%20Major.mid
10	mutopia	Fryderyk Chopin	Nocturne No. 1 in B-flat minor.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Nocturne%20No.%201%20in%20B-flat%20minor.mid
11	mutopia	Fryderyk Chopin	Nocturne No. 19 in E minor.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Nocturne%20No.%2019%20in%20E%20minor.mid
12	mutopia	Fryderyk Chopin	Nocturne No. 3.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Nocturne%20No.%203.mid
13	mutopia	Fryderyk Chopin	Premiere Ballade.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Premiere%20Ballade.mid
14	mutopia	Fryderyk Chopin	Valse Op. 64, No. 1 ('Minute Waltz').mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Valse%20Op.%2064%2C%20No.%201%20%28%27Minute%20Waltz%27%29.mid
15	mutopia	Fryderyk Chopin	Walzer h-moll.mid	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			mutopia:/Composers/C/F.%20F.%20Chopin%20%281810-1849%29/Walzer%20h-moll.mid
16	opl	Fryderyk Chopin	Frederic Chopin - Polonaise in A Major, Op. 40, No. 1 (Military Polonaise).vgz	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			opl:/Artists/Ad%20Lib%2C%20Inc/Covers/Frederic%20Chopin%20-%20Polonaise%20in%20A%20Major%2C%20Op.%2040%2C%20No.%201%20%28Military%20Polonaise%29.vgz
17	opl	Fryderyk Chopin	Frederic Chopin - Prelude in A Major, Op. 28, No. 7.vgz	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			opl:/Artists/Ad%20Lib%2C%20Inc/Covers/Frederic%20Chopin%20-%20Prelude%20in%20A%20Major%2C%20Op.%2028%2C%20No.%207.vgz
18	opl	Fryderyk Chopin	Frederic Chopin - Prelude, Op. 28, No. 4.vgz	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			opl:/Artists/Ad%20Lib%2C%20Inc/Covers/Frederic%20Chopin%20-%20Prelude%2C%20Op.%2028%2C%20No.%204.vgz
19	opl	Fryderyk Chopin	Frederic Chopin - Nocturne in E-flat Major, Op. 9, No. 2.vgz	https://culture.pl/en/artist/fryderyk-chopin-frederic-chopin			opl:/Artists/Yamaha%20Corporation/Covers/Frederic%20Chopin%20-%20Nocturne%20in%20E-flat%20Major%2C%20Op.%209%2C%20No.%202.vgz
20	asma	Janusz Pelc	Blue Monday.sap	https://culture.pl/pl/tworca/janusz-pelc			asma:/Composers/Janusz%20Pelc/Blue%20Monday.sap
21	asma	Janusz Pelc	Captain Gather (1992).sap	https://culture.pl/pl/tworca/janusz-pelc			asma:/Composers/Janusz%20Pelc/Captain%20Gather%20%281992%29.sap
22	asma	Janusz Pelc	Captain Gather - Ingame (1992).sap	https://culture.pl/pl/tworca/janusz-pelc			asma:/Composers/Janusz%20Pelc/Captain%20Gather%20-%20Ingame%20%281992%29.sap
23	asma	Janusz Pelc	Song1 (1992).sap	https://culture.pl/pl/tworca/janusz-pelc			asma:/Composers/Janusz%20Pelc/Song1%20%281992%29.sap
24	asma	Janusz Pelc	Song2 (1992).sap	https://culture.pl/pl/tworca/janusz-pelc			asma:/Composers/Janusz%20Pelc/Song2%20%281992%29.sap
25	asma	Janusz Pelc	Try.sap	https://culture.pl/pl/tworca/janusz-pelc			asma:/Composers/Janusz%20Pelc/Try.sap
26	asma	Piotr Bendyk (XTD)	Altercation (2021).sap	https://demozoo.org/sceners/1532/			asma:/Composers/Piotr%20Bendyk%20%28XTD%29/Altercation%20%282021%29.sap
27	asma	Piotr Bendyk (XTD)	Chips Atari (2017).sap	https://demozoo.org/sceners/1532/			asma:/Composers/Piotr%20Bendyk%20%28XTD%29/Chips%20Atari%20%282017%29.sap
28	asma	Piotr Bendyk (XTD)	Fifth Generation (2016).sap	https://demozoo.org/sceners/1532/			asma:/Composers/Piotr%20Bendyk%20%28XTD%29/Fifth%20Generation%20%282016%29.sap
29	asma	Piotr Bendyk (XTD)	Fourth of a kind (2015).sap	https://demozoo.org/sceners/1532/			asma:/Composers/Piotr%20Bendyk%20%28XTD%29/Fourth%20of%20a%20kind%20%282015%29.sap
30	asma	Piotr Bendyk (XTD)	Fun with Atari (2019).sap	https://demozoo.org/sceners/1532/			asma:/Composers/Piotr%20Bendyk%20%28XTD%29/Fun%20with%20Atari%20%282019%29.sap
31	asma	Piotr Bendyk (XTD)	Seventh (2017).sap	https://demozoo.org/sceners/1532/			asma:/Composers/Piotr%20Bendyk%20%28XTD%29/Seventh%20%282017%29.sap
32	asma	Piotr Bendyk (XTD)	Sixth Sense (2016).sap	https://demozoo.org/sceners/1532/			asma:/Composers/Piotr%20Bendyk%20%28XTD%29/Sixth%20Sense%20%282016%29.sap
33	asma	Piotr Bendyk (XTD)	Surprise (2013).sap	https://demozoo.org/sceners/1532/			asma:/Composers/Piotr%20Bendyk%20%28XTD%29/Surprise%20%282013%29.sap
34	asma	Piotr Bendyk (XTD)	Surprise 2 (2013).sap	https://demozoo.org/sceners/1532/			asma:/Composers/Piotr%20Bendyk%20%28XTD%29/Surprise%202%20%282013%29.sap
35	asma	Piotr Bendyk (XTD)	The Third (2014).sap	https://demozoo.org/sceners/1532/			asma:/Composers/Piotr%20Bendyk%20%28XTD%29/The%20Third%20%282014%29.sap
36	modland	Adam Skorupa (Scorpik)	fountain.mod	https://demozoo.org/sceners/233/			modland:/Protracker/Scorpik/fountain.mod
37	modland	Adam Skorupa (Scorpik)	fife.xm	https://demozoo.org/sceners/233/	382	13539	modland:/Fasttracker%202/Scorpik/fife.xm
38	modland	Adam Skorupa (Scorpik)	a friend has died.mod	https://demozoo.org/sceners/233/			modland:/Protracker/Scorpik/a%20friend%20has%20died.mod
39	modland	Adam Skorupa (Scorpik)	death symphony.mod	https://demozoo.org/sceners/233/			modland:/Protracker/Scorpik/death%20symphony.mod
40	modland	Adam Skorupa (Scorpik)	global slash st.mod	https://demozoo.org/sceners/233/			modland:/Protracker/Scorpik/global%20slash%20st.mod
41	modland	Adam Skorupa (Scorpik)	mr.smith.mod	https://demozoo.org/sceners/233/			modland:/Protracker/Scorpik/mr.smith.mod
