added_order	archive	source_rank	count	playlist_entry
1	hvsc	3		hvsc:/MUSICIANS/H/Hubbard_Rob/Sanxion.sid
2	hvsc	4		hvsc:/MUSICIANS/H/Hubbard_Rob/International_Karate.sid
3	hvsc	5		hvsc:/MUSICIANS/H/Hubbard_Rob/Commando.sid
4	hvsc	7		hvsc:/MUSICIANS/H/Hubbard_Rob/Delta.sid
5	hvsc	16		hvsc:/MUSICIANS/H/Hubbard_Rob/Knucklebusters.sid
6	hvsc	17		hvsc:/MUSICIANS/H/Hubbard_Rob/Auf_Wiedersehen_Monty.sid
7	hvsc	19		hvsc:/MUSICIANS/H/Hubbard_Rob/Nemesis_the_Warlock.sid
8	hvsc	30		hvsc:/MUSICIANS/H/Hubbard_Rob/Lightforce.sid
9	hvsc	47		hvsc:/MUSICIANS/H/Hubbard_Rob/Zoids.sid
10	hvsc	52		hvsc:/MUSICIANS/H/Hubbard_Rob/ACE_II.sid
11	hvsc	53		hvsc:/MUSICIANS/H/Hubbard_Rob/Thrust.sid
12	hvsc	55		hvsc:/MUSICIANS/H/Hubbard_Rob/BMX_Kidz.sid
13	hvsc	69		hvsc:/MUSICIANS/H/Hubbard_Rob/Gerry_the_Germ.sid
14	hvsc	92		hvsc:/MUSICIANS/H/Hubbard_Rob/Kentilla.sid
15	modland	2	183163	modland:/Protracker/Captain/space_debris.mod
16	modland	4	151487	modland:/Fasttracker%202/Elwood/deadlock.xm
17	modland	12	84779	modland:/Fasttracker%202/Gaius/coop-Bazooie/squired.xm
18	modland	13	83927	modland:/Screamtracker%203/Karsten%20Koch/aryx.s3m
19	modland	16	72426	modland:/Fasttracker%202/Andreas%20Viklund/coop-Virtuos/dreams.xm
20	modland	28	56307	modland:/Screamtracker%203/Necros/click.s3m
21	modland	44	41937	modland:/Fasttracker%202/Elwood/experience.xm
22	modland	77	30616	modland:/Protracker/The%20Mixer%20%28CA%29/macarena.mod
23	modland	80	29726	modland:/Protracker/Dr.%20Awesome/andante.mod
24	modland	112	24776	modland:/Screamtracker%203/Purple%20Motion/ssi-intro.s3m
25	modland	119	23930	modland:/Screamtracker%203/Purple%20Motion/skyrider.s3m
26	modland	124	23211	modland:/Protracker/Stamen/abandon.mod
27	modland	129	22984	modland:/Fasttracker%202/Jogeir%20Liljedahl/suspiria.xm
28	modland	145	21817	modland:/Fasttracker%202/Quiet%20Sound/a-night.xm
29	modland	151	21321	modland:/Screamtracker%203/Purple%20Motion/unreal.s3m
